RecvTick,ExchTick,Bid,BidVol,Ask,AskVol,RecvTime,ExchTime,ContractId,TradingDay,Last,LastVol,Multiplier
637363633137760667,637363633132700000,4.75370092196,1,4.75370092196,1,738056.390206,738056.3902,992999999,20200922,4.75370092196,1,10000
637363633142840795,637363633137780000,4.75369088186,1,4.75369088186,1,738056.390212,738056.390206,992999999,20200922,4.75369088186,1,10000
637363633163483521,637363633158430000,4.75364059869,1,4.75364059869,1,738056.390236,738056.39023,992999999,20200922,4.75364059869,1,10000
637363633168484746,637363633163430000,4.75364059869,1,4.75364059869,1,738056.390241,738056.390235,992999999,20200922,4.75364059869,1,10000
637363633197984044,637363633192930000,4.75364134316,1,4.75364134316,1,738056.390275,738056.39027,992999999,20200922,4.75364134316,1,10000
637363633229706123,637363633224650000,4.75357261409,1,4.75357261409,1,738056.390312,738056.390306,992999999,20200922,4.75357261409,1,10000
637363633260008256,637363633254950000,4.75357261409,1,4.75357261409,1,738056.390347,738056.390341,992999999,20200922,4.75357261409,1,10000
637363633295399299,637363633290340000,4.75357261409,1,4.75357261409,1,738056.390388,738056.390382,992999999,20200922,4.75357261409,1,10000
637363633315435284,637363633310380000,4.75357261409,1,4.75357261409,1,738056.390411,738056.390406,992999999,20200922,4.75357261409,1,10000
637363633336170808,637363633331110000,4.75349195821,1,4.75349195821,1,738056.390435,738056.39043,992999999,20200922,4.75349195821,1,10000
637363633351241957,637363633346180000,4.75349492312,1,4.75349492312,1,738056.390453,738056.390447,992999999,20200922,4.75349492312,1,10000
637363633376452599,637363633371390000,4.75349492312,1,4.75349492312,1,738056.390482,738056.390476,992999999,20200922,4.75349492312,1,10000
637363633416747065,637363633411690000,4.75349541416,1,4.75349541416,1,738056.390529,738056.390523,992999999,20200922,4.75349541416,1,10000
637363633446957367,637363633441900000,4.75349931079,1,4.75349931079,1,738056.390564,738056.390558,992999999,20200922,4.75349931079,1,10000
637363633451957828,637363633446900000,4.75345005932,1,4.75345005932,1,738056.390569,738056.390564,992999999,20200922,4.75345005932,1,10000
637363633457127421,637363633452070000,4.75343736553,1,4.75343736553,1,738056.390575,738056.39057,992999999,20200922,4.75343736553,1,10000
637363633467205850,637363633462150000,4.75338932444,1,4.75338932444,1,738056.390587,738056.390581,992999999,20200922,4.75338932444,1,10000
637363633487943967,637363633482890000,4.75338895919,1,4.75338895919,1,738056.390611,738056.390605,992999999,20200922,4.75338895919,1,10000
637363633553452147,637363633548390000,4.75338895919,1,4.75338895919,1,738056.390687,738056.390681,992999999,20200922,4.75338895919,1,10000
637363633563433036,637363633558370000,4.75338895919,1,4.75338895919,1,738056.390698,738056.390693,992999999,20200922,4.75338895919,1,10000
637363633573503939,637363633568440000,4.75338895919,1,4.75338895919,1,738056.39071,738056.390704,992999999,20200922,4.75338895919,1,10000
637363633593734063,637363633588670000,4.75338895919,1,4.75338895919,1,738056.390733,738056.390728,992999999,20200922,4.75338895919,1,10000
637363633598805074,637363633593750000,4.75338895919,1,4.75338895919,1,738056.390739,738056.390734,992999999,20200922,4.75338895919,1,10000
637363633603904340,637363633598850000,4.75338953358,1,4.75338953358,1,738056.390745,738056.390739,992999999,20200922,4.75338953358,1,10000
637363633613974984,637363633608920000,4.75338645249,1,4.75338645249,1,738056.390757,738056.390751,992999999,20200922,4.75338645249,1,10000
637363633619055946,637363633614000000,4.75337747801,1,4.75337747801,1,738056.390763,738056.390757,992999999,20200922,4.75337747801,1,10000
637363633644195803,637363633639140000,4.75332071736,1,4.75332071736,1,738056.390792,738056.390786,992999999,20200922,4.75332071736,1,10000
637363633654256520,637363633649200000,4.75332071736,1,4.75332071736,1,738056.390804,738056.390798,992999999,20200922,4.75332071736,1,10000
637363633684669283,637363633679610000,4.75332071736,1,4.75332071736,1,738056.390839,738056.390833,992999999,20200922,4.75332071736,1,10000
637363633694738574,637363633689680000,4.75332071736,1,4.75332071736,1,738056.39085,738056.390845,992999999,20200922,4.75332071736,1,10000
637363633709897416,637363633704840000,4.75331751528,1,4.75331751528,1,738056.390868,738056.390862,992999999,20200922,4.75331751528,1,10000
637363633719859423,637363633714800000,4.75331751528,1,4.75331751528,1,738056.390879,738056.390874,992999999,20200922,4.75331751528,1,10000
637363633724910414,637363633719850000,4.75330537629,1,4.75330537629,1,738056.390885,738056.390879,992999999,20200922,4.75330537629,1,10000
637363633730030856,637363633724970000,4.75330601912,1,4.75330601912,1,738056.390891,738056.390885,992999999,20200922,4.75330601912,1,10000
637363633740100444,637363633735040000,4.75326728338,1,4.75326728338,1,738056.390903,738056.390897,992999999,20200922,4.75326728338,1,10000
637363633765332589,637363633760270000,4.75326728338,1,4.75326728338,1,738056.390932,738056.390926,992999999,20200922,4.75326728338,1,10000
637363633770403141,637363633765340000,4.75326728338,1,4.75326728338,1,738056.390938,738056.390932,992999999,20200922,4.75326728338,1,10000
637363633798939045,637363633793880000,4.75326728338,1,4.75326728338,1,738056.390971,738056.390965,992999999,20200922,4.75326728338,1,10000
637363633814394908,637363633809340000,4.75326728338,1,4.75326728338,1,738056.390989,738056.390983,992999999,20200922,4.75326728338,1,10000
637363633829537260,637363633824480000,4.75326728338,1,4.75326728338,1,738056.391006,738056.391001,992999999,20200922,4.75326728338,1,10000
637363633874818290,637363633869760000,4.75326728338,1,4.75326728338,1,738056.391059,738056.391053,992999999,20200922,4.75326728338,1,10000
637363633905030063,637363633899970000,4.75326728338,1,4.75326728338,1,738056.391094,738056.391088,992999999,20200922,4.75326728338,1,10000
637363633920169738,637363633915110000,4.75150672256,1,4.75150672256,1,738056.391111,738056.391105,992999999,20200922,4.75150672256,1,10000
637363633925170549,637363633920110000,4.75126035459,1,4.75126035459,1,738056.391117,738056.391111,992999999,20200922,4.75126035459,1,10000
637363633935240666,637363633930180000,4.75126035459,1,4.75126035459,1,738056.391129,738056.391123,992999999,20200922,4.75126035459,1,10000
637363633960451052,637363633955390000,4.75126035459,1,4.75126035459,1,738056.391158,738056.391152,992999999,20200922,4.75126035459,1,10000
637363634000735005,637363633995670000,4.75126035459,1,4.75126035459,1,738056.391205,738056.391199,992999999,20200922,4.75126035459,1,10000
637363634025875561,637363634020820000,4.75126035459,1,4.75126035459,1,738056.391234,738056.391228,992999999,20200922,4.75126035459,1,10000
637363634036046776,637363634030990000,4.75124854718,1,4.75124854718,1,738056.391245,738056.39124,992999999,20200922,4.75124854718,1,10000
637363634046028621,637363634040970000,4.75124854718,1,4.75124854718,1,738056.391257,738056.391251,992999999,20200922,4.75124854718,1,10000
637363634061057967,637363634056000000,4.75124161709,1,4.75124161709,1,738056.391274,738056.391269,992999999,20200922,4.75124161709,1,10000
637363634071128304,637363634066070000,4.75125061674,1,4.75125061674,1,738056.391286,738056.39128,992999999,20200922,4.75125061674,1,10000
637363634077856153,637363634072800000,4.75125061674,1,4.75125061674,1,738056.391294,738056.391288,992999999,20200922,4.75125061674,1,10000
637363634092970774,637363634087910000,4.75105709593,1,4.75105709593,1,738056.391311,738056.391305,992999999,20200922,4.75105709593,1,10000
637363634098069815,637363634093010000,4.75105709593,1,4.75105709593,1,738056.391317,738056.391311,992999999,20200922,4.75105709593,1,10000
637363634108139186,637363634103080000,4.75105709593,1,4.75105709593,1,738056.391329,738056.391323,992999999,20200922,4.75105709593,1,10000
637363634118221698,637363634113160000,4.75105709593,1,4.75105709593,1,738056.391341,738056.391335,992999999,20200922,4.75105709593,1,10000
637363634128560533,637363634123500000,4.75086714966,1,4.75086714966,1,738056.391353,738056.391347,992999999,20200922,4.75086714966,1,10000
637363634138622612,637363634133560000,4.75077841419,1,4.75077841419,1,738056.391364,738056.391358,992999999,20200922,4.75077841419,1,10000
637363634148691928,637363634143630000,4.74998300675,1,4.74998300675,1,738056.391376,738056.39137,992999999,20200922,4.74998300675,1,10000
637363634163764605,637363634158700000,4.74998300675,1,4.74998300675,1,738056.391393,738056.391387,992999999,20200922,4.74998300675,1,10000
637363634173834225,637363634168770000,4.74961075917,1,4.74961075917,1,738056.391405,738056.391399,992999999,20200922,4.74961075917,1,10000
637363634188983571,637363634183920000,4.74790465529,1,4.74790465529,1,738056.391422,738056.391417,992999999,20200922,4.74790465529,1,10000
637363634193983902,637363634188920000,4.74790465529,1,4.74790465529,1,738056.391428,738056.391422,992999999,20200922,4.74790465529,1,10000
637363634204054400,637363634198990000,4.74790465529,1,4.74790465529,1,738056.39144,738056.391434,992999999,20200922,4.74790465529,1,10000
637363634209126196,637363634204070000,4.74777175728,1,4.74777175728,1,738056.391446,738056.39144,992999999,20200922,4.74777175728,1,10000
637363634219196365,637363634214140000,4.74837416713,1,4.74837416713,1,738056.391457,738056.391452,992999999,20200922,4.74837416713,1,10000
637363634229266919,637363634224210000,4.74837416713,1,4.74837416713,1,738056.391469,738056.391463,992999999,20200922,4.74837416713,1,10000
637363634239336173,637363634234280000,4.74837416713,1,4.74837416713,1,738056.391481,738056.391475,992999999,20200922,4.74837416713,1,10000
637363634274546964,637363634269490000,4.74837256443,1,4.74837256443,1,738056.391521,738056.391516,992999999,20200922,4.74837256443,1,10000
637363634284629334,637363634279570000,4.74837256443,1,4.74837256443,1,738056.391533,738056.391527,992999999,20200922,4.74837256443,1,10000
637363634294688579,637363634289630000,4.74771585221,1,4.74771585221,1,738056.391545,738056.391539,992999999,20200922,4.74771585221,1,10000
637363634309819983,637363634304760000,4.74756248033,1,4.74756248033,1,738056.391562,738056.391556,992999999,20200922,4.74756248033,1,10000
637363634319890538,637363634314830000,4.74755356912,1,4.74755356912,1,738056.391574,738056.391568,992999999,20200922,4.74755356912,1,10000
637363634345032175,637363634339970000,4.74738892623,1,4.74738892623,1,738056.391603,738056.391597,992999999,20200922,4.74738892623,1,10000
637363634365192438,637363634360130000,4.74738926792,1,4.74738926792,1,738056.391626,738056.391621,992999999,20200922,4.74738926792,1,10000
637363634383025846,637363634377960000,4.74738926792,1,4.74738926792,1,738056.391647,738056.391641,992999999,20200922,4.74738926792,1,10000
637363634408166985,637363634403110000,4.74738926792,1,4.74738926792,1,738056.391676,738056.39167,992999999,20200922,4.74738926792,1,10000
637363634418234207,637363634413170000,4.74732885077,1,4.74732885077,1,738056.391688,738056.391682,992999999,20200922,4.74732885077,1,10000
637363634428205535,637363634423140000,4.74729355528,1,4.74729355528,1,738056.391699,738056.391693,992999999,20200922,4.74729355528,1,10000
637363634433276152,637363634428210000,4.74646912971,1,4.74646912971,1,738056.391705,738056.391699,992999999,20200922,4.74646912971,1,10000
637363634438277021,637363634433220000,4.74625665692,1,4.74625665692,1,738056.391711,738056.391705,992999999,20200922,4.74625665692,1,10000
637363634443355410,637363634438290000,4.74627903718,1,4.74627903718,1,738056.391717,738056.391711,992999999,20200922,4.74627903718,1,10000
637363634448361654,637363634443300000,4.74627283305,1,4.74627283305,1,738056.391723,738056.391717,992999999,20200922,4.74627283305,1,10000
637363634458421612,637363634453360000,4.74625944541,1,4.74625944541,1,738056.391734,738056.391728,992999999,20200922,4.74625944541,1,10000
637363634468492823,637363634463430000,4.74623195406,1,4.74623195406,1,738056.391746,738056.39174,992999999,20200922,4.74623195406,1,10000
637363634488526615,637363634483470000,4.74644294352,1,4.74644294352,1,738056.391769,738056.391763,992999999,20200922,4.74644294352,1,10000
637363634493598574,637363634488540000,4.74649217829,1,4.74649217829,1,738056.391775,738056.391769,992999999,20200922,4.74649217829,1,10000
637363634503669446,637363634498610000,4.74650341564,1,4.74650341564,1,738056.391787,738056.391781,992999999,20200922,4.74650341564,1,10000
637363634513730554,637363634508670000,4.74651784166,1,4.74651784166,1,738056.391798,738056.391792,992999999,20200922,4.74651784166,1,10000
637363634523743018,637363634518680000,4.74656391146,1,4.74656391146,1,738056.39181,738056.391804,992999999,20200922,4.74656391146,1,10000
637363634528761402,637363634523700000,4.74618130412,1,4.74618130412,1,738056.391816,738056.39181,992999999,20200922,4.74618130412,1,10000
637363634538712101,637363634533650000,4.74618130412,1,4.74618130412,1,738056.391827,738056.391821,992999999,20200922,4.74618130412,1,10000
637363634543780557,637363634538720000,4.74618130412,1,4.74618130412,1,738056.391833,738056.391827,992999999,20200922,4.74618130412,1,10000
637363634548781657,637363634543720000,4.74613188464,1,4.74613188464,1,738056.391839,738056.391833,992999999,20200922,4.74613188464,1,10000
637363634558852429,637363634553790000,4.74613188464,1,4.74613188464,1,738056.391851,738056.391845,992999999,20200922,4.74613188464,1,10000
637363634563922667,637363634558860000,4.74605261285,1,4.74605261285,1,738056.391856,738056.391851,992999999,20200922,4.74605261285,1,10000
637363634573901612,637363634568840000,4.74602798142,1,4.74602798142,1,738056.391868,738056.391862,992999999,20200922,4.74602798142,1,10000
637363634579003601,637363634573940000,4.7455216543,1,4.7455216543,1,738056.391874,738056.391868,992999999,20200922,4.7455216543,1,10000
637363634584072386,637363634579010000,4.74530712168,1,4.74530712168,1,738056.39188,738056.391874,992999999,20200922,4.74530712168,1,10000
637363634594144422,637363634589080000,4.74530712168,1,4.74530712168,1,738056.391891,738056.391886,992999999,20200922,4.74530712168,1,10000
637363634604215115,637363634599150000,4.74542077132,1,4.74542077132,1,738056.391903,738056.391897,992999999,20200922,4.74542077132,1,10000
637363634614284223,637363634609220000,4.74593055085,1,4.74593055085,1,738056.391915,738056.391909,992999999,20200922,4.74593055085,1,10000
637363634624356109,637363634619290000,4.74593055085,1,4.74593055085,1,738056.391926,738056.39192,992999999,20200922,4.74593055085,1,10000
637363634634416147,637363634629350000,4.74549801891,1,4.74549801891,1,738056.391938,738056.391932,992999999,20200922,4.74549801891,1,10000
637363634639432669,637363634634370000,4.74549801891,1,4.74549801891,1,738056.391944,738056.391938,992999999,20200922,4.74549801891,1,10000
637363634649495304,637363634644430000,4.74550680219,1,4.74550680219,1,738056.391955,738056.39195,992999999,20200922,4.74550680219,1,10000
637363634654566370,637363634649500000,4.74593923789,1,4.74593923789,1,738056.391961,738056.391955,992999999,20200922,4.74593923789,1,10000
637363634659567441,637363634654510000,4.74580190332,1,4.74580190332,1,738056.391967,738056.391961,992999999,20200922,4.74580190332,1,10000
637363634669537524,637363634664480000,4.74544098924,1,4.74544098924,1,738056.391979,738056.391973,992999999,20200922,4.74544098924,1,10000
637363634678027117,637363634672970000,4.74555616281,1,4.74555616281,1,738056.391988,738056.391983,992999999,20200922,4.74555616281,1,10000
637363634683079423,637363634678020000,4.74556874424,1,4.74556874424,1,738056.391994,738056.391988,992999999,20200922,4.74556874424,1,10000
637363634693149340,637363634688090000,4.7454986505,1,4.7454986505,1,738056.392006,738056.392,992999999,20200922,4.7454986505,1,10000
637363634698150652,637363634693090000,4.74548584946,1,4.74548584946,1,738056.392012,738056.392006,992999999,20200922,4.74548584946,1,10000
637363634703220183,637363634698160000,4.74513086637,1,4.74513086637,1,738056.392018,738056.392012,992999999,20200922,4.74513086637,1,10000
637363634708220263,637363634703160000,4.74512907006,1,4.74512907006,1,738056.392023,738056.392018,992999999,20200922,4.74512907006,1,10000
637363634713280783,637363634708220000,4.7450778914,1,4.7450778914,1,738056.392029,738056.392023,992999999,20200922,4.7450778914,1,10000
637363634723350120,637363634718290000,4.74506055626,1,4.74506055626,1,738056.392041,738056.392035,992999999,20200922,4.74506055626,1,10000
